model,loss_metric,loss_L,loss,loss_U
xgb_C_driveEP_oq2xdq2x_1_weightByDrive,rmse_EPHat_ValueY,2.5900996874376045,2.593157775175819,2.596215862914033
xgb_C_driveEP_s_1_weightByDrive,rmse_EPHat_ValueY,2.5911551483896966,2.5941946105093985,2.5972340726291003
xgb_C_driveEP_s_1,rmse_EPHat_ValueY,2.6165340688567813,2.6190626021648398,2.6215911354728982
xgb_C_driveEP_oq2xdq2x_1,rmse_EPHat_ValueY,2.6169963002419934,2.6195448466158666,2.62209339298974
xgb_C_driveEP_s_1_weightByDrive,logloss_PHat_Y,0.7495928047933769,0.7508559273977762,0.7521190500021755
xgb_C_driveEP_oq2xdq2x_1_weightByDrive,logloss_PHat_Y,0.7512943751808567,0.7525765430030358,0.7538587108252148
xgb_C_driveEP_s_1,logloss_PHat_Y,0.7661788757831093,0.7672304417094045,0.7682820076356996
xgb_C_driveEP_oq2xdq2x_1,logloss_PHat_Y,0.7692655755061598,0.770309336209864,0.7713530969135681
xgb_C_driveEP_oq2xdq2x_1,rmse_ValueYHat_ValueY,4.04573785914027,4.095641031140675,4.145544203141079
xgb_C_driveEP_oq2xdq2x_1_weightByDrive,rmse_ValueYHat_ValueY,4.067656742455978,4.127442454684403,4.187228166912829
xgb_C_driveEP_s_1_weightByDrive,rmse_ValueYHat_ValueY,4.0992456999470885,4.185864711871315,4.272483723795542
xgb_C_driveEP_s_1,rmse_ValueYHat_ValueY,4.183473784160625,4.254426791614925,4.325379799069226
xgb_C_driveEP_s_1,fractionSame_YHat_Y,0.4358282315653646,0.45649161735700194,0.4771550031486393
xgb_C_driveEP_oq2xdq2x_1,fractionSame_YHat_Y,0.46200593644720656,0.48048467565198333,0.4989634148567601
xgb_C_driveEP_s_1_weightByDrive,fractionSame_YHat_Y,0.4743432014005832,0.4963807801884725,0.5184183589763617
xgb_C_driveEP_oq2xdq2x_1_weightByDrive,fractionSame_YHat_Y,0.49183828063434526,0.5100009149682226,0.5281635493021
